Temperature PID_Error PID_p PID_i PID_d PID_value Output_PWM,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,

33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,

33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,

33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
33.001272,
